#col1   col2   col3   col4   col5
2.40 0.4400 0.8107 0.0060 0.0001
2.40 0.4270 0.8314 0.0056 0.0001
2.40 0.4300 0.8429 0.0037 -0.0000
2.40 0.4240 0.8240 0.0130 0.0000
2.40 0.3980 0.9360 0.0200 -0.0000
2.40 0.4310 0.8352 0.0038 0.0000
2.40 0.4030 0.9340 0.0130 0.0000
2.40 0.4280 0.8449 0.0021 0.0000
